Date,Open,High,Low,Close,Volume
2021-09-23 00:00:00-04:00,2987.5,2987.5,2987.5,2987.5,0
2021-09-24 00:00:00-04:00,2958.0,2958.0,2958.0,2958.0,0
2021-09-27 00:00:00-04:00,2923.25,2923.25,2923.25,2923.25,0
2021-09-28 00:00:00-04:00,2974.25,2974.25,2974.25,2974.25,0
2021-09-29 00:00:00-04:00,2965.25,2965.25,2965.25,2965.25,0
2021-09-30 00:00:00-04:00,2914.75,2914.75,2903.0,2903.0,0
2021-10-01 00:00:00-04:00,2902.25,2902.25,2902.25,2902.25,0
2021-10-04 00:00:00-04:00,2957.25,2957.25,2957.25,2957.25,0
2021-10-05 00:00:00-04:00,2966.5,2966.5,2966.5,2966.5,0
2021-10-06 00:00:00-04:00,2942.0,2942.0,2942.0,2942.0,0
2021-10-07 00:00:00-04:00,2991.0,2991.0,2991.0,2991.0,0
2021-10-08 00:00:00-04:00,3011.25,3011.25,3011.25,3011.25,0
2021-10-11 00:00:00-04:00,3111.5,3111.5,3111.5,3111.5,0
2021-10-12 00:00:00-04:00,3108.75,3108.75,3108.75,3108.75,0
2021-10-13 00:00:00-04:00,3038.75,3038.75,3038.75,3038.75,0
2021-10-14 00:00:00-04:00,3130.5,3130.5,3130.5,3130.5,0
2021-10-15 00:00:00-04:00,3171.0,3171.0,3171.0,3171.0,0
2021-10-18 00:00:00-04:00,3202.5,3202.5,3202.5,3202.5,0
2021-10-19 00:00:00-04:00,3138.25,3138.25,3138.25,3138.25,0
2021-10-20 00:00:00-04:00,3108.75,3108.75,3108.75,3108.75,0
2021-10-21 00:00:00-04:00,2935.5,2935.5,2935.5,2935.5,0
2021-10-22 00:00:00-04:00,2905.75,2907.75,2905.75,2907.75,0
2021-10-25 00:00:00-04:00,2908.0,2908.0,2908.0,2908.0,0
2021-10-26 00:00:00-04:00,2860.75,2866.5,2860.75,2866.5,0
2021-10-27 00:00:00-04:00,2716.5,2716.5,2716.5,2716.5,0
2021-10-28 00:00:00-04:00,2794.5,2794.5,2794.5,2794.5,0
2021-10-29 00:00:00-04:00,2758.5,2758.5,2758.5,2758.5,0
2021-11-01 00:00:00-04:00,2776.25,2776.25,2776.25,2776.25,0
2021-11-02 00:00:00-04:00,2754.75,2754.75,2754.75,2754.75,0
2021-11-03 00:00:00-04:00,2712.5,2712.5,2712.5,2712.5,0
2021-11-04 00:00:00-04:00,2616.25,2616.25,2616.25,2616.25,0
2021-11-05 00:00:00-04:00,2595.75,2595.75,2595.75,2595.75,0
2021-11-08 00:00:00-05:00,2625.0,2625.0,2604.75,2604.75,0
2021-11-09 00:00:00-05:00,2560.5,2560.5,2560.5,2560.5,0
2021-11-10 00:00:00-05:00,2567.0,2567.0,2567.0,2567.0,0
2021-11-11 00:00:00-05:00,2634.0,2634.0,2634.0,2634.0,0
2021-11-12 00:00:00-05:00,2645.25,2645.25,2645.25,2645.25,0
2021-11-15 00:00:00-05:00,2607.75,2607.75,2607.75,2607.75,0
2021-11-16 00:00:00-05:00,2540.5,2540.5,2540.5,2540.5,0
2021-11-17 00:00:00-05:00,2598.5,2598.5,2598.5,2598.5,0
2021-11-18 00:00:00-05:00,2603.0,2603.0,2603.0,2603.0,0
2021-11-19 00:00:00-05:00,2662.75,2662.75,2662.75,2662.75,0
2021-11-22 00:00:00-05:00,2657.5,2657.5,2657.5,2657.5,0
2021-11-23 00:00:00-05:00,2648.0,2648.0,2648.0,2648.0,0
2021-11-24 00:00:00-05:00,2664.5,2664.5,2664.5,2664.5,0
2021-11-26 00:00:00-05:00,2581.25,2581.25,2581.25,2581.25,0
2021-11-29 00:00:00-05:00,2596.0,2596.0,2596.0,2596.0,0
2021-11-30 00:00:00-05:00,2591.25,2591.25,2591.25,2591.25,0
2021-12-01 00:00:00-05:00,2628.5,2628.5,2628.5,2628.5,0
2021-12-02 00:00:00-05:00,2585.25,2585.25,2585.25,2585.25,0
2021-12-03 00:00:00-05:00,2596.25,2596.25,2596.25,2596.25,0
2021-12-06 00:00:00-05:00,2566.75,2566.75,2566.75,2566.75,0
2021-12-07 00:00:00-05:00,2601.75,2601.75,2601.75,2601.75,0
